15:12:42.099890 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31344264:31344436, ack 17461, win 313, length 172
15:12:42.099950 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31344436:31344608, ack 17461, win 313, length 172
15:12:42.100007 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31344608:31344780, ack 17461, win 313, length 172
15:12:42.100066 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31344780:31344952, ack 17461, win 313, length 172
15:12:42.100122 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31344952:31345124, ack 17461, win 313, length 172
15:12:42.100181 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31345124:31345296, ack 17461, win 313, length 172
15:12:42.100237 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31345296:31345468, ack 17461, win 313, length 172
15:12:42.100295 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31345468:31345640, ack 17461, win 313, length 172
15:12:42.100352 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31345640:31345812, ack 17461, win 313, length 172
15:12:42.100411 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31345812:31345984, ack 17461, win 313, length 172
15:12:42.100480 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31345984:31346156, ack 17461, win 313, length 172
15:12:42.100545 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31346156:31346328, ack 17461, win 313, length 172
15:12:42.100610 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31346328:31346500, ack 17461, win 313, length 172
15:12:42.100685 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31346500:31346672, ack 17461, win 313, length 172
15:12:42.100748 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31346672:31346844, ack 17461, win 313, length 172
15:12:42.100808 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31346844:31347016, ack 17461, win 313, length 172
15:12:42.100881 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31347016:31347188, ack 17461, win 313, length 172
15:12:42.100951 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31347188:31347360, ack 17461, win 313, length 172
15:12:42.101022 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31347360:31347532, ack 17461, win 313, length 172
15:12:42.101081 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31347532:31347704, ack 17461, win 313, length 172
